readability,difficult_words
7.557708829218341,"['quàng', 'thời_cơ', 'frame', 'ceo', 'đùa', 'nè', 'ceo', 'nhận_lời', 'ngay_tắp_lự', 'đc', 'nhân_văn', 'cứu_giúp', 'tâm_hồn', 'ngây_ngô', 'cạm_bẫy', 'nào_là', 'hãm_hại', 'v v', 'kinh_khủng', 'quẹt', 'quẹt', 'đt', 'shopping', 'online', 'ko', 'khâm_phục', 'shark_phú', 'e', 'a', 'thốt', 'rita_bonita', 'giỏi_giang', 'omg', 'cathy', 'huyna', 'ko', 'haha', 'nhân_văn', 'làm_sao', 'bình_yên', 'chối_từ', 'thgian', 'thư_thái', 'ko', 'ko', 'ko', 'ko', 'tp', 'phần_nào', 'thấu_hiểu', 'trọ', 'nan_giải', 'r', 'nay', 'e', 'mong_mỏi', 'lan_toả', 'ưng_ý', 'ko', 'search', 'download', 'nhá', 'nhắn_nhủ', 'ceo', 'chúc_mừng', 'cathy_thao_tran', 'team', 'cần_mẫn', 'cầu_toàn', 'c', 'mng', 'thành_quả', 'tự_hào', 'nhaa', 'c', 'c', 'rita', 'e', 'trân_trọng']"
0.3472,[]
11.630700000000001,['tráng_miệng']
8.693737974683543,"['dịch_giả', 'tâm_huyết', 'laaa', 'ko', 'nay', 'thiên_chức', 'vậy_mà', 'tâm_trí', 'yêu_thương', 'tự_tình', 'ăn_may', 'thần_thái', 'thôi_thì', 'bà_cô', 'ko', 'lão_hoá', 'trang_thuy_nguyen', 'e', 'cầu_chúc', 'léon_cảm', 'e', 'bầu_bí', 'c', 'e', 'kì_công', 'chắt_lọc', 'ps', 'brand', 'manager', 'đặng_trầm', 'r']"
6.307372328767123,"['toà_soạn', 'nữ_sinh', 'huyền', 'btc', 'cơ_mà', 'thoắt', 'bạn_hàng', 'kí', 'ghê_gớm']"
10.155000000000001,"['quấy', 'sắn', 'cốm', 'trữ', 'ngon_lành', 'xế', 'chứ_lị']"
8.113066666666667,"['yoga', 'ko', '12b', 'bloomy_yoga', 'spa', 'lê_hồng', 'q', 'pass']"
11.239105128205129,"['tối_tăm', 'mưa_gió', 'cứu_trợ', 'health', 'alarm', 'show', 'tram_tran', 'ps', 'xone', 'fm89mhz', 'e', 'xone', 'life', '9h']"
19.476100000000002,['yeeeeeeee_nguyen_minh_cuong']
8.07320894308943,"['fb', 'ngập_tràn', 'đám_cưới', 'hỉ', 'thân_từ', 'cô_dâu', 'long_lanh', 'nhung', 'xấu_tính', 'up', 'e', 'k', 'a', 'đt', 'k', 'rực_rỡ']"
9.538324561403508,"['nhà_lớn', 'con_bé', 'nè', 'kỉ_niệm', 'bm', 'bm', 'đc', 'thoả_thích', 'r', 'thì_thầm', 'tâm_sự', 'gào_thét', 'kêu_ca', 'tối_ngày', 'thất_tình', 'ko', 'thế_mà', 'chí_choé', 'cãi', 'khoẻ', 'mắm_tôm', 'mắm', 'thối', 'bõ', 'xây_đắp', '2ce', 'vs', 'ft', 'thủ_thỉ', 'hnay', 'cô_dâu', 'đại_gia_đình', 'hỉ', 'ko', 'quynh_phuc_tran', 'hâm', 'nay', 'tổ_ấm', 'q', 'khùng', 'thái_dương', 'chăm_lo', 'bình_yên_viên_mãn', 'nay', 'rể', 'tui', 'con_bé', 'dở_hơi', 'ng', 'miễn_sao', 'chọc', 'điên', 'đc', 'hahaa', 'happy', 'wedding', 'my', 'lil', 'sister', 'you', 'll', 'be', 'truly', 'happy']"
8.9819,"['grand', 'opening', 'khai_trương', 'mừng_be_classy', 'thanh duy', 'nguyen', 'đắc_địa', 'chú_rể', 'cô_dâu', 'váy', 'ghé', 'xịn', 'nhaaa']"
8.78465,"['ngập_tràn', 'ps', 'ko', 'share', 'ngkhac', 'lựa', 'hợp_ý', 'hehe']"
10.239033333333332,"['shop', 'celeb', 'phúc_bồ', 'hồng_anh_đào_anh', 'hip_hop', 'xì tai', 'hội_tụ', 'pb', 'clothing']"
12.783607692307694,"['ôi', 'giồi', 'ôi', 'xem_lại', 'mv', 'rocker', 'dieu_linxi']"
7.125382432432432,"['khoác', 'chả', 'nhỏ_bé', 'yếu_đuối', 'cục_tính', 'té', 'vội', 'tử_tế', 'chân_thành', 'tự_hào', 'đôi_lúc', 'ít_ỏi', 'vừa_rồi', 'dồn', 'sg', 'thương_nhớ', 'chậu', 'trong_trẻo', 'thanh_tao', 'haha', 'thế_gian', 'cảm_ơn', 'chân_thật', 'kiên_định', 'hết_lòng', 'yêu_thương', 'yên_tâm', 'hậu_phương', 'nương_náu', 'ăn_vạ', 'hehe']"
7.053009090909091,"['happy_birthday_to_meee', 'great']"
5.787311764705882,['ko']
